Vteam,Hteam
Philadelphia 76ers,Boston Celtics
Los Angeles Lakers,Golden State Warriors
Orlando Magic,Detroit Pistons
Washington Wizards,Indiana Pacers
Houston Rockets,Atlanta Hawks
New Orleans Pelicans,Brooklyn Nets
New York Knicks,Memphis Grizzlies
Chicago Bulls,Miami Heat
Cleveland Cavaliers,Toronto Raptors
Oklahoma City Thunder,Minnesota Timberwolves
Charlotte Hornets,San Antonio Spurs
Denver Nuggets,Utah Jazz
Dallas Mavericks,Phoenix Suns
Portland Trail Blazers,Sacramento Kings
Milwaukee Bucks,Philadelphia 76ers
Los Angeles Clippers,Los Angeles Lakers
New Orleans Pelicans,Charlotte Hornets
San Antonio Spurs,Indiana Pacers
Chicago Bulls,Washington Wizards
Orlando Magic,Atlanta Hawks
Toronto Raptors,Brooklyn Nets
Boston Celtics,Miami Heat
Detroit Pistons,New York Knicks
Memphis Grizzlies,Houston Rockets
Utah Jazz,Minnesota Timberwolves
Denver Nuggets,Golden State Warriors
Phoenix Suns,Portland Trail Blazers
San Antonio Spurs,Philadelphia 76ers
Detroit Pistons,Indiana Pacers
Boston Celtics,Orlando Magic
Cleveland Cavaliers,Chicago Bulls
Toronto Raptors,Miami Heat
Houston Rockets,Milwaukee Bucks
Memphis Grizzlies,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets
Los Angeles Clippers,Sacramento Kings
Portland Trail Blazers,Los Angeles Lakers
Charlotte Hornets,Atlanta Hawks
Washington Wizards,Cleveland Cavaliers
Utah Jazz,New Orleans Pelicans
Minnesota Timberwolves,Oklahoma City Thunder
Sacramento Kings,Golden State Warriors
Phoenix Suns,Los Angeles Clippers
Indiana Pacers,Philadelphia 76ers
Toronto Raptors,Miami Heat
Orlando Magic,New York Knicks
Boston Celtics,Chicago Bulls
Utah Jazz,Houston Rockets
Brooklyn Nets,Memphis Grizzlies
San Antonio Spurs,Minnesota Timberwolves
Denver Nuggets,Portland Trail Blazers
Detroit Pistons,Washington Wizards
Dallas Mavericks,New Orleans Pelicans
Los Angeles Clippers,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Orlando Magic,Cleveland Cavaliers
Atlanta Hawks,Detroit Pistons
Brooklyn Nets,Milwaukee Bucks
Charlotte Hornets,New York Knicks
Philadelphia 76ers,Toronto Raptors
Indiana Pacers,Chicago Bulls
San Antonio Spurs,Minnesota Timberwolves
Houston Rockets,Utah Jazz
Los Angeles Lakers,Denver Nuggets
Miami Heat,Portland Trail Blazers
Dallas Mavericks,Brooklyn Nets
Los Angeles Clippers,Oklahoma City Thunder
Miami Heat,Golden State Warriors
Memphis Grizzlies,Sacramento Kings
Atlanta Hawks,Detroit Pistons
Charlotte Hornets,Orlando Magic
Cleveland Cavaliers,Boston Celtics
Philadelphia 76ers,Toronto Raptors
Indiana Pacers,Washington Wizards
New York Knicks,Milwaukee Bucks
Los Angeles Lakers,Minnesota Timberwolves
