WTeam,LTeam,WLoc
Milwaukee Bucks,Brooklyn Nets,H
Golden State Warriors,Los Angeles Lakers,V
Charlotte Hornets,Indiana Pacers,H
Chicago Bulls,Detroit Pistons,V
New York Knicks,Boston Celtics,H
Washington Wizards,Toronto Raptors,V
Memphis Grizzlies,Cleveland Cavaliers,H
Minnesota Timberwolves,Houston Rockets,H
New Orleans Pelicans,Philadelphia 76ers,H
Orlando Magic,San Antonio Spurs,V
Oklahoma City Thunder,Utah Jazz,V
Sacramento Kings,Portland Trail Blazers,V
Phoenix Suns,Denver Nuggets,H
Dallas Mavericks,Atlanta Hawks,V
Milwaukee Bucks,Miami Heat,V
Golden State Warriors,Los Angeles Clippers,H
Orlando Magic,New York Knicks,H
Washington Wizards,Indiana Pacers,H
Charlotte Hornets,Cleveland Cavaliers,V
Boston Celtics,Toronto Raptors,H
Brooklyn Nets,Philadelphia 76ers,V
Oklahoma City Thunder,Houston Rockets,V
Chicago Bulls,New Orleans Pelicans,H
San Antonio Spurs,Denver Nuggets,V
Phoenix Suns,Los Angeles Lakers,V
Utah Jazz,Sacramento Kings,V
Atlanta Hawks,Cleveland Cavaliers,V
Miami Heat,Indiana Pacers,V
Toronto Raptors,Dallas Mavericks,H
Chicago Bulls,Detroit Pistons,H
Minnesota Timberwolves,New Orleans Pelicans,H
Milwaukee Bucks,San Antonio Spurs,V
Portland Trail Blazers,Phoenix Suns,H
Memphis Grizzlies,Los Angeles Clippers,V
Brooklyn Nets,Charlotte Hornets,H
Houston Rockets,Boston Celtics,H
Orlando Magic,New York Knicks,V
Philadelphia 76ers,Oklahoma City Thunder,V
Golden State Warriors,Sacramento Kings,V
Los Angeles Lakers,Memphis Grizzlies,H
Boston Celtics,Charlotte Hornets,V
Milwaukee Bucks,Indiana Pacers,V
Chicago Bulls,Toronto Raptors,V
Orlando Magic,Miami Heat,V
Washington Wizards,Brooklyn Nets,V
Atlanta Hawks,Detroit Pistons,H
Minnesota Timberwolves,New Orleans Pelicans,H
Cleveland Cavaliers,Denver Nuggets,V
Portland Trail Blazers,Los Angeles Clippers,V
Philadelphia 76ers,New York Knicks,V
Oklahoma City Thunder,Golden State Warriors,H
Los Angeles Lakers,San Antonio Spurs,V
Dallas Mavericks,Houston Rockets,H
Utah Jazz,Denver Nuggets,H
Charlotte Hornets,Orlando Magic,V
Washington Wizards,Boston Celtics,V
Brooklyn Nets,Miami Heat,H
Toronto Raptors,Indiana Pacers,H
New Orleans Pelicans,Atlanta Hawks,H
Minnesota Timberwolves,Milwaukee Bucks,V
Oklahoma City Thunder,Los Angeles Lakers,H
Sacramento Kings,Phoenix Suns,V
Memphis Grizzlies,Portland Trail Blazers,V
Cleveland Cavaliers,Los Angeles Clippers,V
Washington Wizards,Atlanta Hawks,H
Philadelphia 76ers,Detroit Pistons,H
Houston Rockets,Utah Jazz,H
New York Knicks,Chicago Bulls,V
San Antonio Spurs,Dallas Mavericks,V
Memphis Grizzlies,Golden State Warriors,V
Toronto Raptors,Orlando Magic,H
Charlotte Hornets,Miami Heat,V
Indiana Pacers,Brooklyn Nets,V
Sacramento Kings,New Orleans Pelicans,V
Dallas Mavericks,Denver Nuggets,V
Los Angeles Clippers,Portland Trail Blazers,V
Los Angeles Lakers,Cleveland Cavaliers,H
Washington Wizards,Boston Celtics,H
Detroit Pistons,Orlando Magic,H
New York Knicks,New Orleans Pelicans,V
Toronto Raptors,Indiana Pacers,V
Atlanta Hawks,Philadelphia 76ers,V
Utah Jazz,Chicago Bulls,V
Miami Heat,Memphis Grizzlies,V
Milwaukee Bucks,San Antonio Spurs,H
Oklahoma City Thunder,Golden State Warriors,V
Denver Nuggets,Minnesota Timberwolves,V
Cleveland Cavaliers,Phoenix Suns,V
Sacramento Kings,Dallas Mavericks,V
Charlotte Hornets,Portland Trail Blazers,H
Milwaukee Bucks,Utah Jazz,H
Detroit Pistons,Brooklyn Nets,V
Los Angeles Lakers,Houston Rockets,H
Cleveland Cavaliers,Charlotte Hornets,V
Indiana Pacers,San Antonio Spurs,H
Philadelphia 76ers,Portland Trail Blazers,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,Boston Celtics,V
Toronto Raptors,New York Knicks,V
Denver Nuggets,Memphis Grizzlies,V
Minnesota Timberwolves,Orlando Magic,H
Los Angeles Clippers,Oklahoma City Thunder,H
Detroit Pistons,Milwaukee Bucks,H
Miami Heat,Dallas Mavericks,V
Utah Jazz,Sacramento Kings,H
Phoenix Suns,New Orleans Pelicans,H
Los Angeles Lakers,Houston Rockets,H
Cleveland Cavaliers,Portland Trail Blazers,H
New York Knicks,Indiana Pacers,V
Boston Celtics,Orlando Magic,V
Chicago Bulls,Philadelphia 76ers,V
Toronto Raptors,Washington Wizards,V
Brooklyn Nets,Atlanta Hawks,H
Memphis Grizzlies,Denver Nuggets,H
Los Angeles Clippers,Minnesota Timberwolves,V
Dallas Mavericks,San Antonio Spurs,V
Charlotte Hornets,Golden State Warriors,V
New Orleans Pelicans,Sacramento Kings,V
Detroit Pistons,Philadelphia 76ers,H
Atlanta Hawks,Utah Jazz,H
Boston Celtics,Miami Heat,V
Phoenix Suns,Houston Rockets,H
Oklahoma City Thunder,Los Angeles Lakers,V
Brooklyn Nets,Detroit Pistons,V
Orlando Magic,San Antonio Spurs,H
Memphis Grizzlies,Washington Wizards,V
Milwaukee Bucks,New York Knicks,H
Cleveland Cavaliers,Toronto Raptors,V
Minnesota Timberwolves,Los Angeles Clippers,H
New Orleans Pelicans,Golden State Warriors,V
Portland Trail Blazers,Indiana Pacers,H
Sacramento Kings,Charlotte Hornets,H
Denver Nuggets,Houston Rockets,H
Miami Heat,Utah Jazz,H
Philadelphia 76ers,Chicago Bulls,V
Dallas Mavericks,Boston Celtics,H
Phoenix Suns,Atlanta Hawks,H
Los Angeles Lakers,Portland Trail Blazers,V
Brooklyn Nets,Toronto Raptors,V
Cleveland Cavaliers,New York Knicks,V
Orlando Magic,Utah Jazz,H
Indiana Pacers,Sacramento Kings,V
Milwaukee Bucks,Washington Wizards,V
Oklahoma City Thunder,San Antonio Spurs,H
Golden State Warriors,Houston Rockets,H
Los Angeles Clippers,Charlotte Hornets,H
Philadelphia 76ers,New York Knicks,H
Brooklyn Nets,Chicago Bulls,V
Memphis Grizzlies,Minnesota Timberwolves,H
New Orleans Pelicans,Dallas Mavericks,V
Miami Heat,Denver Nuggets,V
Golden State Warriors,Atlanta Hawks,H
Phoenix Suns,Sacramento Kings,V
Los Angeles Lakers,Charlotte Hornets,H
Milwaukee Bucks,Philadelphia 76ers,V
Atlanta Hawks,Utah Jazz,V
Los Angeles Clippers,Portland Trail Blazers,H
Washington Wizards,Cleveland Cavaliers,V
Orlando Magic,Brooklyn Nets,H
Toronto Raptors,Boston Celtics,V
Detroit Pistons,Houston Rockets,V
Milwaukee Bucks,New York Knicks,V
Chicago Bulls,Dallas Mavericks,H
Charlotte Hornets,Memphis Grizzlies,V
Oklahoma City Thunder,New Orleans Pelicans,V
San Antonio Spurs,Sacramento Kings,H
Indiana Pacers,Denver Nuggets,V
Phoenix Suns,Portland Trail Blazers,H
Golden State Warriors,Minnesota Timberwolves,H
Los Angeles Lakers,Miami Heat,H
Toronto Raptors,Philadelphia 76ers,V
Indiana Pacers,Utah Jazz,V
Los Angeles Clippers,Miami Heat,H
New York Knicks,Charlotte Hornets,V
Boston Celtics,Milwaukee Bucks,H
Cleveland Cavaliers,Detroit Pistons,H
Houston Rockets,Portland Trail Blazers,H
Memphis Grizzlies,Phoenix Suns,H
Brooklyn Nets,New Orleans Pelicans,V
Oklahoma City Thunder,Sacramento Kings,H
Dallas Mavericks,San Antonio Spurs,V
Atlanta Hawks,Denver Nuggets,V
Chicago Bulls,Golden State Warriors,V
Los Angeles Lakers,Minnesota Timberwolves,H
Miami Heat,Utah Jazz,V
Indiana Pacers,Philadelphia 76ers,H
New Orleans Pelicans,Memphis Grizzlies,H
Orlando Magic,Washington Wizards,H
Detroit Pistons,Toronto Raptors,V
Cleveland Cavaliers,Boston Celtics,H
Los Angeles Clippers,Minnesota Timberwolves,H
Los Angeles Lakers,San Antonio Spurs,H
Atlanta Hawks,Milwaukee Bucks,H
Charlotte Hornets,Golden State Warriors,H
Houston Rockets,Phoenix Suns,H
Oklahoma City Thunder,Brooklyn Nets,H
Portland Trail Blazers,Denver Nuggets,V
Los Angeles Clippers,Chicago Bulls,H
Boston Celtics,Cleveland Cavaliers,V
Sacramento Kings,Detroit Pistons,V
Washington Wizards,New Orleans Pelicans,H
Atlanta Hawks,Orlando Magic,H
New York Knicks,Indiana Pacers,H
Dallas Mavericks,Denver Nuggets,H
Memphis Grizzlies,Houston Rockets,H
Phoenix Suns,Minnesota Timberwolves,V
Oklahoma City Thunder,Miami Heat,H
Portland Trail Blazers,Toronto Raptors,H
Chicago Bulls,Los Angeles Lakers,V
Brooklyn Nets,Golden State Warriors,H
Philadelphia 76ers,Utah Jazz,V
San Antonio Spurs,Los Angeles Clippers,V
Charlotte Hornets,Washington Wizards,H
Detroit Pistons,Indiana Pacers,H
Boston Celtics,Atlanta Hawks,V
Cleveland Cavaliers,Brooklyn Nets,V
New Orleans Pelicans,Miami Heat,V
Milwaukee Bucks,Los Angeles Lakers,H
New York Knicks,Orlando Magic,H
Sacramento Kings,Minnesota Timberwolves,V
Houston Rockets,Oklahoma City Thunder,V
Dallas Mavericks,Phoenix Suns,V
Portland Trail Blazers,Chicago Bulls,H
Cleveland Cavaliers,Golden State Warriors,H
Washington Wizards,Miami Heat,V
Memphis Grizzlies,Los Angeles Clippers,H
San Antonio Spurs,Minnesota Timberwolves,V
Denver Nuggets,Philadelphia 76ers,H
Utah Jazz,Toronto Raptors,H
Charlotte Hornets,Indiana Pacers,H
Golden State Warriors,Detroit Pistons,V
Boston Celtics,Los Angeles Lakers,H
Brooklyn Nets,Orlando Magic,H
Milwaukee Bucks,Oklahoma City Thunder,H
New Orleans Pelicans,Los Angeles Clippers,H
Chicago Bulls,Denver Nuggets,V
Phoenix Suns,Dallas Mavericks,H
Sacramento Kings,Toronto Raptors,H
Houston Rockets,New York Knicks,V
New Orleans Pelicans,Indiana Pacers,V
Washington Wizards,Miami Heat,H
Atlanta Hawks,Charlotte Hornets,H
Boston Celtics,Oklahoma City Thunder,H
Milwaukee Bucks,Orlando Magic,H
Memphis Grizzlies,Minnesota Timberwolves,V
Portland Trail Blazers,Philadelphia 76ers,H
Utah Jazz,Sacramento Kings,V
Los Angeles Clippers,Dallas Mavericks,H
Los Angeles Lakers,Detroit Pistons,V
Chicago Bulls,New York Knicks,H
Denver Nuggets,Phoenix Suns,V
Golden State Warriors,Toronto Raptors,H
Brooklyn Nets,Cleveland Cavaliers,V
Charlotte Hornets,Washington Wizards,V
Atlanta Hawks,Oklahoma City Thunder,H
Houston Rockets,Boston Celtics,V
Chicago Bulls,Indiana Pacers,H
Orlando Magic,Milwaukee Bucks,V
New Orleans Pelicans,Minnesota Timberwolves,H
Phoenix Suns,San Antonio Spurs,V
