城市,新增确诊,新增治愈,新增死亡,累计治愈,累计死亡
合肥,0,0,0,175,1
芜湖,0,0,0,34,0
蚌埠,0,0,0,155,5
淮南,0,0,0,27,0
马鞍山,0,0,0,38,0
淮北,0,0,0,27,0
铜陵,0,0,0,29,0
安庆,0,0,0,83,0
黄山,0,0,0,9,0
滁州,0,0,0,13,0
阜阳,0,0,0,156,0
宿州,0,0,0,41,0
六安,0,0,0,77,0
亳州,0,0,0,108,0
池州,0,0,0,17,0
宣城,0,0,0,6,0
福州,0,0,0,71,1
厦门,11,0,0,39,0
莆田,4,8,0,64,0
三明,0,0,0,14,0
泉州,0,0,0,47,0
漳州,0,0,0,20,0
南平,0,0,0,20,0
龙岩,0,0,0,6,0
宁德,0,0,0,26,0
兰州,0,0,0,35,2
嘉峪关市,0,0,0,0,0
金昌,0,0,0,1,0
白银,0,0,0,4,0
天水,0,0,0,12,0
武威市,0,0,0,0,0
张掖,0,0,0,2,0
平凉,0,0,0,9,0
酒泉市,0,0,0,0,0
庆阳,0,0,0,3,0
定西,0,0,0,9,0
陇南,0,0,0,4,0
临夏,0,0,0,3,0
甘南州,0,0,0,8,0
广州,0,5,0,1695,1
韶关,0,0,0,9,1
深圳,0,1,0,571,3
珠海,0,0,0,122,1
汕头,0,0,0,26,0
佛山,0,2,0,206,0
江门,1,0,0,39,0
湛江,0,0,0,41,0
茂名,0,0,0,17,0
肇庆,0,0,0,46,1
惠州,0,0,0,63,0
梅州,0,0,0,17,0
汕尾,0,0,0,6,0
河源,0,0,0,5,0
阳江,0,0,0,19,0
清远,0,0,0,17,0
东莞,0,1,0,108,1
中山,0,0,0,73,0
潮州,0,0,0,7,0
揭阳,0,0,0,11,0
云浮,0,0,0,0,0
南宁,0,0,0,56,0
柳州,0,0,0,24,0
桂林,0,0,0,32,0
梧州,0,0,0,5,0
北海,0,0,0,43,1
防城港,0,0,0,19,0
钦州,0,0,0,8,0
贵港,0,0,0,8,0
玉林,0,0,0,11,0
百色,0,0,0,3,0
贺州,0,0,0,4,0
河池,0,0,0,27,1
来宾,0,0,0,11,0
崇左市,0,0,0,0,0
贵阳,0,0,0,35,1
六盘水,0,0,0,9,1
遵义,0,0,0,32,0
安顺,0,0,0,4,0
铜仁,0,0,0,10,0
黔西南,0,0,0,4,0
毕节,0,0,0,23,0
黔东南苗族侗族自治州,0,0,0,10,0
黔南布依族苗族自治州,0,0,0,17,0
海口,0,0,0,41,0
三亚,0,0,0,54,1
五指山市,0,0,0,0,0
琼海,0,0,0,5,1
儋州,0,0,0,14,1
文昌,0,0,0,3,0
万宁,0,0,0,13,0
东方,0,0,0,2,1
定安县,0,0,0,2,1
屯昌县,0,0,0,0,0
澄迈县,0,0,0,8,1
临高县,0,0,0,6,0
白沙黎族自治州,0,0,0,0,0
昌江,0,0,0,7,0
乐东黎族自治县,0,0,0,2,0
陵水县,0,0,0,4,0
保亭黎族苗族自治县,0,0,0,3,0
琼中黎族苗族自治县,0,0,0,1,0
石家庄,0,0,0,897,1
唐山,0,0,0,57,1
秦皇岛,0,0,0,9,1
邯郸,0,0,0,32,0
邢台,0,0,0,93,1
保定,0,0,0,34,0
张家口,0,0,0,43,0
承德,0,0,0,7,0
沧州,0,0,0,46,3
廊坊,0,0,0,33,0
衡水,0,0,0,8,0
哈尔滨,15,0,0,406,4
齐齐哈尔,0,0,0,43,1
鸡西,0,0,0,46,0
鹤岗,0,0,0,5,0
双鸭山,0,0,0,49,3
大庆,0,0,0,28,1
伊春,0,0,0,1,0
佳木斯,0,0,0,15,0
七台河,0,0,0,17,0
牡丹江,0,0,0,36,0
黑河,0,0,0,24,0
绥化,0,0,0,532,4
大兴安岭,0,0,0,3,0
郑州,0,0,0,280,5
开封,0,0,0,26,0
洛阳,0,0,0,30,1
平顶山,0,0,0,57,1
安阳,0,0,0,53,0
鹤壁,0,0,0,19,0
新乡,0,0,0,54,3
焦作,0,0,0,31,1
濮阳,0,0,0,17,0
许昌,0,0,0,38,1
漯河,0,0,0,36,0
三门峡,0,0,0,6,1
南阳,0,0,0,153,3
商丘,0,0,0,88,3
信阳,0,0,0,272,2
周口,0,0,0,75,1
驻马店,0,0,0,139,0
济源,0,0,0,5,0
武汉,0,0,0,46511,3869
黄石,0,0,0,976,39
十堰,0,0,0,664,8
宜昌,0,0,0,894,37
襄阳,0,0,0,1135,40
鄂州,0,0,0,1336,59
荆门,0,1,0,930,41
