整租·银谷美泉家园2室2厅南/北 124.00㎡ 南北 2室2厅2卫,朝阳朝青银谷美泉家园
整租·泛海世家西府5室2厅东/南/北 466.00㎡ 东南北 5室2厅4卫,朝阳朝阳公园泛海世家西府
整租·双榆树北路2室1厅南/北 58.00㎡ 南北 2室1厅1卫,海淀双榆树双榆树北路
整租·八角北里3室1厅南/北 68.00㎡ 南北 3室1厅1卫,石景山八角八角北里
整租·东升园2室1厅东/西 68.00㎡ 东西 2室1厅1卫,海淀五道口东升园
整租·合景领峰10号院5房间北 140.00㎡ 北 5房间2卫,房山长阳合景领峰10号院
整租·富力城D区1室1厅北 71.76㎡ 北 1室1厅1卫,朝阳双井富力城D区
整租·汇欣公寓3室2厅东/南 223.76㎡ 东南 3室2厅3卫,朝阳亚运村汇欣公寓
整租·尚东庭3室2厅南/北 200.00㎡ 南北 3室2厅3卫,通州潞苑尚东庭
整租·银河湾2室1厅南/北 121.43㎡ 南北 2室1厅1卫,朝阳酒仙桥银河湾
整租·保利中央公园4室2厅南/北 168.00㎡ 南北 4室2厅3卫,朝阳望京保利中央公园
整租·十一教工楼3室1厅南/北 70.00㎡ 南北 3室1厅1卫,海淀玉泉路十一教工楼
整租·汇欣公寓2室2厅南 173.50㎡ 南 2室2厅2卫,朝阳亚运村汇欣公寓
整租·首开铂郡12号院3室2厅南/西/北 210.08㎡ 南西北 3室2厅2卫,朝阳三里屯首开铂郡12号院
整租·十一教工楼3室1厅南/北 68.00㎡ 南北 3室1厅1卫,海淀玉泉路十一教工楼
整租·乐成豪丽1室1厅东 68.00㎡ 东 1室1厅1卫,朝阳大望路乐成豪丽
整租·首城国际C区4室2厅南/北 188.00㎡ 南北 4室2厅3卫,朝阳双井首城国际C区
整租·万柳园小区1室1厅南/北 45.00㎡ 南北 1室1厅1卫,丰台玉泉营万柳园小区
整租·十一教工楼1室1厅南 45.00㎡ 南 1室1厅1卫,海淀玉泉路十一教工楼
整租·铂宫国际中心3室1厅南/北 322.33㎡ 南北 3室1厅2卫,朝阳东大桥铂宫国际中心
整租·富力城D区3室2厅南/北 171.00㎡ 南北 3室2厅2卫,朝阳双井富力城D区
整租·长银大厦1室0厅西 110.48㎡ 西 1室0厅0卫,海淀五棵松长银大厦
整租·北京城建海梓府2室2厅南/北 173.00㎡ 南北 2室2厅2卫,大兴亦庄开发区其它北京城建海梓府
整租·金茂府东区2房间西南 85.00㎡ 西南 2房间1卫,朝阳大望路金茂府东区
整租·清澄名苑北区3室2厅南 140.00㎡ 南 3室2厅1卫,大兴黄村中清澄名苑北区
整租·双榆树东里2室1厅南 59.50㎡ 南 2室1厅1卫,海淀双榆树双榆树东里
整租·东兴二区2室1厅南/北 73.65㎡ 南北 2室1厅1卫,顺义顺义城东兴二区
整租·中海城圣朝菲2室1厅西 100.09㎡ 西 2室1厅1卫,朝阳成寿寺中海城圣朝菲
整租·碧水云天3室2厅西南 137.34㎡ 西南 3室2厅2卫,海淀万柳碧水云天
整租·后现代城A区1室0厅北 51.00㎡ 北 1室0厅1卫,朝阳大望路后现代城A区
整租·团结湖北口2室1厅南/北 64.00㎡ 南北 2室1厅1卫,朝阳团结湖团结湖北口
整租·富锦嘉园一区2室1厅南/北 88.00㎡ 南北 2室1厅1卫,丰台科技园区富锦嘉园一区
整租·交大嘉园3室1厅西南 108.00㎡ 西南 3室1厅1卫,海淀西直门交大嘉园
整租·大成时代公馆1房间西 75.00㎡ 西 1房间1卫,丰台岳各庄大成时代公馆
整租·国美第一城2号院4室2厅复式东 191.35㎡ 东 4室2厅2卫,朝阳朝青国美第一城2号院
整租·瑞悦府4室2厅南/北 317.00㎡ 南北 4室2厅3卫,朝阳中央别墅区瑞悦府
整租·毛纺厂南小区2室1厅南 56.30㎡ 南 2室1厅1卫,海淀清河毛纺厂南小区
整租·后现代城D区1室0厅北 57.00㎡ 北 1室0厅1卫,朝阳大望路后现代城D区
整租·南平里2室1厅南/北 58.19㎡ 南北 2室1厅1卫,朝阳首都机场南平里
整租·糖人街2室1厅西南 78.44㎡ 西南 2室1厅1卫,丰台太平桥糖人街
整租·林肯公园B区5房间东北 149.00㎡ 东北 5房间2卫,亦庄开发区亦庄林肯公园B区
整租·亲爱的villa6室3厅南/北 330.00㎡ 南北 6室3厅5卫,亦庄开发区亦庄亲爱的villa
整租·建邦华府2室1厅南/北 104.57㎡ 南北 2室1厅2卫,丰台刘家窑建邦华府
